부재ID,도면부재명,유형,구역,층,치수(mm),스팬/높이(mm),면적(m²),체적(m³)
C-B2F-PKG-0001,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0002,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0003,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0004,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0005,C,기둥,PKG,B2F,500x500,3300,,0.825
"('EC2', 213146.67978605814, 2354791.824795585)-B2F-PKG-0001","('EC2', 213146.67978605814, 2354791.824795585)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 151440.79850220634, 2312679.7182151787)-B2F-PKG-0001","('EC2', 151440.79850220634, 2312679.7182151787)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 213890.80489959102, 2300514.436117657)-B2F-PKG-0001","('EC2', 213890.80489959102, 2300514.436117657)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 151240.79850222822, 2396884.4410409667)-B2F-PKG-0001","('EC1', 151240.79850222822, 2396884.4410409667)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 181040.79850222403, 2396894.4410408987)-B2F-PKG-0001","('EC1', 181040.79850222403, 2396894.4410408987)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 181040.79850222776, 2388684.4410408633)-B2F-PKG-0001","('EC1', 181040.79850222776, 2388684.4410408633)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 172840.79850222683, 2388684.441040891)-B2F-PKG-0001","('EC1', 172840.79850222683, 2388684.441040891)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 188140.80489996867, 2330366.637231357)-B2F-PKG-0001","('EC1', 188140.80489996867, 2330366.637231357)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 182040.80489967065, 2330366.6372313583)-B2F-PKG-0001","('EC1', 182040.80489967065, 2330366.6372313583)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 213890.80489963852, 2305314.43611771)-B2F-PKG-0001","('EC1', 213890.80489963852, 2305314.43611771)",기둥,PKG,B2F,400x800,3300,,1.056
"('C1', 197440.79850222403, 2396894.4410408977)-B2F-PKG-0001","('C1', 197440.79850222403, 2396894.4410408977)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 207590.80489959195, 2300514.4361171937)-B2F-PKG-0001","('C2', 207590.80489959195, 2300514.4361171937)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 199290.8048995845, 2300514.436117657)-B2F-PKG-0001","('C2', 199290.8048995845, 2300514.436117657)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 193140.804899903, 2300514.436117395)-B2F-PKG-0001","('C2', 193140.804899903, 2300514.436117395)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 187540.80489966366, 2300514.436117454)-B2F-PKG-0001","('C2', 187540.80489966366, 2300514.436117454)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 182040.80489966366, 2300514.436117512)-B2F-PKG-0001","('C2', 182040.80489966366, 2300514.436117512)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 173840.80489966366, 2300514.436117597)-B2F-PKG-0001","('C2', 173840.80489966366, 2300514.436117597)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 151240.7985022338, 2354944.441040854)-B2F-PKG-0001","('C2', 151240.7985022338, 2354944.441040854)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 151240.7985021514, 2363144.441040855)-B2F-PKG-0001","('C2', 151240.7985021514, 2363144.441040855)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 151240.79850223009, 2371344.4410408568)-B2F-PKG-0001","('C2', 151240.79850223009, 2371344.4410408568)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2A', 151240.79850223009, 2374884.4410408568)-B2F-PKG-0001","('C2A', 151240.79850223009, 2374884.4410408568)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2A', 151240.79850223009, 2383284.4410408577)-B2F-PKG-0001","('C2A', 151240.79850223009, 2383284.4410408577)",기둥,PKG,B2F,400x800,3300,,1.056
"('C3', 151240.79850221798, 2321594.441040859)-B2F-PKG-0001","('C3', 151240.79850221798, 2321594.441040859)",기둥,PKG,B2F,400x800,3300,,1.056
"('AC1', 178496.99803680228, 2317575.809182824)-B2F-PKG-0001","('AC1', 178496.99803680228, 2317575.809182824)",기둥,PKG,B2F,500x700,3300,,1.155
"('AC1', 180280.98185069812, 2325891.5562742343)-B2F-PKG-0001","('AC1', 180280.98185069812, 2325891.5562742343)",기둥,PKG,B2F,500x700,3300,,1.155
"('AC2', 208686.6924800265, 2331244.022335531)-B2F-PKG-0001","('AC2', 208686.6924800265, 2331244.022335531)",기둥,PKG,B2F,771x888,3300,,2.2619
"('EC1', 196340.79850226454, 2330546.638872613)-B2F-PKG-0001","('EC1', 196340.79850226454, 2330546.638872613)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 200440.80489988392, 2330366.637231352)-B2F-PKG-0001","('EC1', 200440.80489988392, 2330366.637231352)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 208518.20124788675, 2338346.207345199)-B2F-PKG-0001","('EC1', 208518.20124788675, 2338346.207345199)",기둥,PKG,B2F,800x400,3300,,1.056
"('EC1', 189240.79850222776, 2388684.441040865)-B2F-PKG-0001","('EC1', 189240.79850222776, 2388684.441040865)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 194040.79850222683, 2388684.441040865)-B2F-PKG-0001","('EC1', 194040.79850222683, 2388684.441040865)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 202240.8048998746, 2388684.441040786)-B2F-PKG-0001","('EC1', 202240.8048998746, 2388684.441040786)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 203922.03104565572, 2396787.9687206037)-B2F-PKG-0001","('EC1', 203922.03104565572, 2396787.9687206037)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 189240.79850222403, 2396894.441040901)-B2F-PKG-0001","('EC1', 189240.79850222403, 2396894.441040901)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 151240.79850223009, 2350834.441040862)-B2F-PKG-0001","('EC2', 151240.79850223009, 2350834.441040862)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 151240.79850222822, 2387694.4377589663)-B2F-PKG-0001","('EC2', 151240.79850222822, 2387694.4377589663)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2A', 151240.79850221798, 2329994.441040855)-B2F-PKG-0001","('EC2A', 151240.79850221798, 2329994.441040855)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 168140.80489973165, 2300514.436117657)-B2F-PKG-0001","('EC2', 168140.80489973165, 2300514.436117657)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 168175.5972587642, 2317714.436117257)-B2F-PKG-0001","('PC2(T)', 168175.5972587642, 2317714.436117257)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 168175.5972587684, 2326314.436117257)-B2F-PKG-0001","('PC2(T)', 168175.5972587684, 2326314.436117257)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 196581.2356272958, 2346844.441041325)-B2F-PKG-0001","('PC2', 196581.2356272958, 2346844.441041325)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 188381.23562729533, 2346844.441041302)-B2F-PKG-0001","('PC2', 188381.23562729533, 2346844.441041302)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 196581.23562730232, 2355044.441041321)-B2F-PKG-0001","('PC2', 196581.23562730232, 2355044.441041321)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 188381.2356273014, 2355044.441041298)-B2F-PKG-0001","('PC2', 188381.2356273014, 2355044.441041298)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 202081.23562723992, 2355044.441041065)-B2F-PKG-0001","('PC2', 202081.23562723992, 2355044.441041065)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 196581.23562733352, 2363244.441041557)-B2F-PKG-0001","('PC2', 196581.23562733352, 2363244.441041557)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 188381.23562733305, 2363244.4410415348)-B2F-PKG-0001","('PC2', 188381.23562733305, 2363244.4410415348)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 167381.23562713328, 2371444.441040897)-B2F-PKG-0001","('PC2', 167381.23562713328, 2371444.441040897)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 167581.2356271901, 2374984.441040906)-B2F-PKG-0001","('PC2', 167581.2356271901, 2374984.441040906)",기둥,PKG,B2F,800x400,3300,,1.056
"('C1', 172840.7985022231, 2396894.441040927)-B2F-PKG-0001","('C1', 172840.7985022231, 2396894.441040927)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 207831.2420245665, 2305473.7676743483)-B2F-PKG-0001","('PC2(S)', 207831.2420245665, 2305473.7676743483)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 199531.2420245593, 2305473.7676743967)-B2F-PKG-0001","('PC2(T)', 199531.2420245593, 2305473.7676743967)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 193381.24202487874, 2305473.767674369)-B2F-PKG-0001","('PC2(T)', 193381.24202487874, 2305473.767674369)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 187781.2420246394, 2305473.767674377)-B2F-PKG-0001","('PC2(T)', 187781.2420246394, 2305473.767674377)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 182285.1143072478, 2305473.767674385)-B2F-PKG-0001","('PC2(T)', 182285.1143072478, 2305473.767674385)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 174085.1143072478, 2305473.7676743967)-B2F-PKG-0001","('PC2(T)', 174085.1143072478, 2305473.7676743967)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 168381.24202471087, 2305473.7676744023)-B2F-PKG-0001","('PC2(S)', 168381.24202471087, 2305473.7676744023)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 207831.2420245665, 2313514.436117645)-B2F-PKG-0001","('PC2(S)', 207831.2420245665, 2313514.436117645)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 199531.24202455906, 2313514.436117693)-B2F-PKG-0001","('PC2(S)', 199531.24202455906, 2313514.436117693)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 192977.3697422631, 2313514.436117665)-B2F-PKG-0001","('PC2(S)', 192977.3697422631, 2313514.436117665)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 187377.3697420233, 2313514.436117674)-B2F-PKG-0001","('PC2(S)', 187377.3697420233, 2313514.436117674)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 182281.24202463916, 2313514.4361176817)-B2F-PKG-0001","('PC2(S)', 182281.24202463916, 2313514.4361176817)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 174081.24202463916, 2313514.436117693)-B2F-PKG-0001","('PC2(S)', 174081.24202463916, 2313514.436117693)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 168381.24202471087, 2313514.436117698)-B2F-PKG-0001","('PC2(S)', 168381.24202471087, 2313514.436117698)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 174081.24202469783, 2316112.621371252)-B2F-PKG-0001","('PC2(S)', 174081.24202469783, 2316112.621371252)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 159681.23562714458, 2312994.441041289)-B2F-PKG-0001","('PC2(S)', 159681.23562714458, 2312994.441041289)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 159475.5908612319, 2321694.441040439)-B2F-PKG-0001","('PC2(T)', 159475.5908612319, 2321694.441040439)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 159681.23562716972, 2330094.441041276)-B2F-PKG-0001","('PC2(S)', 159681.23562716972, 2330094.441041276)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 168381.24202471087, 2330464.436118136)-B2F-PKG-0001","('PC2(S)', 168381.24202471087, 2330464.436118136)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 173840.80489964737, 2330366.6372313583)-B2F-PKG-0001","('EC1', 173840.80489964737, 2330366.6372313583)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 173840.8048996455, 2326216.637231829)-B2F-PKG-0001","('EC1', 173840.8048996455, 2326216.637231829)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 180181.23562725587, 2338644.441041077)-B2F-PKG-0001","('PC2(S)', 180181.23562725587, 2338644.441041077)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 188381.23562733317, 2338644.441041302)-B2F-PKG-0001","('PC2(S)', 188381.23562733317, 2338644.441041302)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 196581.2356273341, 2338644.441041325)-B2F-PKG-0001","('PC2(S)', 196581.2356273341, 2338644.441041325)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 202081.2356273341, 2338644.441041069)-B2F-PKG-0001","('PC2(S)', 202081.2356273341, 2338644.441041069)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 180181.23562725727, 2346844.441041077)-B2F-PKG-0001","('PC2(S)', 180181.23562725727, 2346844.441041077)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 202081.2356273341, 2346844.441041069)-B2F-PKG-0001","('PC2(S)', 202081.2356273341, 2346844.441041069)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 210181.235627254, 2346844.441041104)-B2F-PKG-0001","('PC2(S)', 210181.235627254, 2346844.441041104)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(S)', 210181.235627254, 2355044.4410411)-B2F-PKG-0001","('PC2(S)', 210181.235627254, 2355044.4410411)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(S)', 180181.23562726378, 2355044.441041073)-B2F-PKG-0001","('PC2(S)', 180181.23562726378, 2355044.441041073)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 180183.94710798585, 2363244.4410408502)-B2F-PKG-0001","('PC2(T)', 180183.94710798585, 2363244.4410408502)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 202081.2356273341, 2363244.441041302)-B2F-PKG-0001","('PC2(S)', 202081.2356273341, 2363244.441041302)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 210181.235627254, 2363244.4410413373)-B2F-PKG-0001","('PC2(S)', 210181.235627254, 2363244.4410413373)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 180181.23562726332, 2371444.441041085)-B2F-PKG-0001","('PC2(S)', 180181.23562726332, 2371444.441041085)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 201600.25736636994, 2371444.441041077)-B2F-PKG-0001","('PC2(S)', 201600.25736636994, 2371444.441041077)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 196581.2356273341, 2371444.4410413327)-B2F-PKG-0001","('PC2(S)', 196581.2356273341, 2371444.4410413327)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 188381.23562733317, 2371444.4410413103)-B2F-PKG-0001","('PC2(S)', 188381.23562733317, 2371444.4410413103)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 171775.17502101115, 2363244.4410408577)-B2F-PKG-0001","('PC2(T)', 171775.17502101115, 2363244.4410408577)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 167102.96884707338, 2363244.441040874)-B2F-PKG-0001","('PC2(T)', 167102.96884707338, 2363244.441040874)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 159402.96884707152, 2363244.4410408763)-B2F-PKG-0001","('PC2(T)', 159402.96884707152, 2363244.4410408763)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(S)', 171775.17502101138, 2371444.441040881)-B2F-PKG-0001","('PC2(S)', 171775.17502101138, 2371444.441040881)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 171775.17502101138, 2374984.4410408903)-B2F-PKG-0001","('PC2(S)', 171775.17502101138, 2374984.4410408903)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 159204.12964887056, 2371444.4410408987)-B2F-PKG-0001","('PC2(T)', 159204.12964887056, 2371444.4410408987)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 159404.12964892737, 2374984.441040908)-B2F-PKG-0001","('PC2(T)', 159404.12964892737, 2374984.441040908)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 167375.175020986, 2383384.4410409033)-B2F-PKG-0001","('PC2(T)', 167375.175020986, 2383384.4410409033)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(S)', 171775.17502101138, 2383384.441040887)-B2F-PKG-0001","('PC2(S)', 171775.17502101138, 2383384.441040887)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 159675.17502108985, 2383384.441040905)-B2F-PKG-0001","('PC2(T)', 159675.17502108985, 2383384.441040905)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 167375.18141856766, 2388782.239927187)-B2F-PKG-0001","('PC2(T)', 167375.18141856766, 2388782.239927187)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 159671.30913604377, 2388782.239927189)-B2F-PKG-0001","('PC2(S)', 159671.30913604377, 2388782.239927189)",기둥,PKG,B2F,800x400,3300,,1.056
"('PC2(T)', 167375.1750209129, 2396984.441040937)-B2F-PKG-0001","('PC2(T)', 167375.1750209129, 2396984.441040937)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 159671.302738389, 2396984.441040938)-B2F-PKG-0001","('PC2(S)', 159671.302738389, 2396984.441040938)",기둥,PKG,B2F,800x400,3300,,1.056
"('EC1', 182040.80489967065, 2330366.6372313583)-B2F-PKG-0002","('EC1', 182040.80489967065, 2330366.6372313583)",기둥,PKG,B2F,600x1500,3300,,2.97
"('PC2(S)', 187377.3697420233, 2313514.436117674)-B2F-PKG-0002","('PC2(S)', 187377.3697420233, 2313514.436117674)",기둥,PKG,B2F,600x1200,3300,,2.376
C-B2F-PKG-0006,C,기둥,PKG,B2F,600x2650,3300,,5.247
C-B2F-PKG-0007,C,기둥,PKG,B2F,600x1300,3300,,2.574
C-B2F-PKG-0008,C,기둥,PKG,B2F,800x1500,3300,,3.96
C-B2F-PKG-0009,C,기둥,PKG,B2F,700x1500,3300,,3.465
C-B2F-PKG-0010,C,기둥,PKG,B2F,1472x1334,3300,,6.4863
"('EC1', 213890.80489963852, 2305314.43611771)-B2F-PKG-0002","('EC1', 213890.80489963852, 2305314.43611771)",기둥,PKG,B2F,1709x1519,3300,,8.5692
C-B2F-PKG-0011,C,기둥,PKG,B2F,600x1500,3300,,2.97
C-B2F-PKG-0012,C,기둥,PKG,B2F,600x2850,3300,,5.643
C-B2F-PKG-0013,C,기둥,PKG,B2F,600x1200,3300,,2.376
C-B2F-PKG-0014,C,기둥,PKG,B2F,600x1600,3300,,3.168
C-B2F-PKG-0015,C,기둥,PKG,B2F,600x1800,3300,,3.564
C-B2F-PKG-0016,C,기둥,PKG,B2F,1472x1334,3300,,6.4863
C-B2F-PKG-0017,C,기둥,PKG,B2F,2006x1782,3300,,11.8085
C-B2F-PKG-0018,C,기둥,PKG,B2F,1425x1169,3300,,5.5033
C-B2F-PKG-0019,C,기둥,PKG,B2F,600x1200,3300,,2.376
"('EC1', 188140.80489996867, 2330366.637231357)-B2F-PKG-0002","('EC1', 188140.80489996867, 2330366.637231357)",기둥,PKG,B2F,600x1500,3300,,2.97
C-B2F-PKG-0020,C,기둥,PKG,B2F,600x1500,3300,,2.97
C-B2F-PKG-0021,C,기둥,PKG,B2F,600x1200,3300,,2.376
C-B2F-PKG-0022,C,기둥,PKG,B2F,1339x1119,3300,,4.9479
C-B2F-PKG-0023,C,기둥,PKG,B2F,600x1000,3300,,1.98
C-B2F-PKG-0024,C,기둥,PKG,B2F,600x900,3300,,1.782
C-B2F-PKG-0025,C,기둥,PKG,B2F,600x900,3300,,1.782
C-B2F-PKG-0026,C,기둥,PKG,B2F,600x1200,3300,,2.376
C-B2F-PKG-0027,C,기둥,PKG,B2F,600x1800,3300,,3.564
C-B2F-PKG-0028,C,기둥,PKG,B2F,600x2200,3300,,4.356
C-B2F-PKG-0029,C,기둥,PKG,B2F,1500x1000,3300,,4.95
C-B2F-PKG-0030,C,기둥,PKG,B2F,1500x1000,3300,,4.95
C-B2F-PKG-0031,C,기둥,PKG,B2F,600x1400,3300,,2.772
C-B2F-PKG-0032,C,기둥,PKG,B2F,1500x1000,3300,,4.95
C-B2F-PKG-0033,C,기둥,PKG,B2F,1500x1000,3300,,4.95
C-B2F-PKG-0034,C,기둥,PKG,B2F,1100x900,3300,,3.267
C-B2F-PKG-0035,C,기둥,PKG,B2F,1300x1300,3300,,5.577
C-B2F-PKG-0036,C,기둥,PKG,B2F,1300x1300,3300,,5.577
C-B2F-PKG-0037,C,기둥,PKG,B2F,600x1800,3300,,3.564
"('EC2', 159940.80489975028, 2305314.436117707)-B2F-PKG-0001","('EC2', 159940.80489975028, 2305314.436117707)",기둥,PKG,B2F,400x800,3300,,1.056
C-B2F-PKG-0038,C,기둥,PKG,B2F,1017x948,3300,,3.182
SL-B2F-PKG-0001,SL,슬라브,PKG,B2F,,,71.11,10.6658
SL-B2F-PKG-0002,SL,슬라브,PKG,B2F,,,68.07,10.2104
SL-B2F-PKG-0003,SL,슬라브,PKG,B2F,,,26.63,3.9946
SL-B2F-PKG-0004,SL,슬라브,PKG,B2F,,,70.19,10.5289
SL-B2F-PKG-0005,SL,슬라브,PKG,B2F,,,37.96,5.6943
SL-B2F-PKG-0006,SL,슬라브,PKG,B2F,,,27.3,4.0953
SL-B2F-PKG-0007,SL,슬라브,PKG,B2F,,,20.07,3.0111
SL-B2F-PKG-0008,SL,슬라브,PKG,B2F,,,32.71,4.9068
SL-B2F-PKG-0009,SL,슬라브,PKG,B2F,,,13.93,2.0896
SL-B2F-PKG-0010,SL,슬라브,PKG,B2F,,,23.33,3.4995
C-B1F-PKG-0001,C,기둥,PKG,B1F,500x500,4250,,1.0625
C-B1F-PKG-0002,C,기둥,PKG,B1F,500x500,4250,,1.0625
C-B1F-PKG-0003,C,기둥,PKG,B1F,500x500,4250,,1.0625
C-B1F-PKG-0004,C,기둥,PKG,B1F,500x500,4250,,1.0625
C-B1F-PKG-0005,C,기둥,PKG,B1F,500x500,4250,,1.0625
"('EC2', 213146.67978605814, 2354791.824795585)-B1F-PKG-0001","('EC2', 213146.67978605814, 2354791.824795585)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC2', 151440.79850220634, 2312679.7182151787)-B1F-PKG-0001","('EC2', 151440.79850220634, 2312679.7182151787)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC2', 213890.80489959102, 2300514.436117657)-B1F-PKG-0001","('EC2', 213890.80489959102, 2300514.436117657)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 151240.79850222822, 2396884.4410409667)-B1F-PKG-0001","('EC1', 151240.79850222822, 2396884.4410409667)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 181040.79850222403, 2396894.4410408987)-B1F-PKG-0001","('EC1', 181040.79850222403, 2396894.4410408987)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 181040.79850222776, 2388684.4410408633)-B1F-PKG-0001","('EC1', 181040.79850222776, 2388684.4410408633)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 172840.79850222683, 2388684.441040891)-B1F-PKG-0001","('EC1', 172840.79850222683, 2388684.441040891)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 188140.80489996867, 2330366.637231357)-B1F-PKG-0001","('EC1', 188140.80489996867, 2330366.637231357)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 182040.80489967065, 2330366.6372313583)-B1F-PKG-0001","('EC1', 182040.80489967065, 2330366.6372313583)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 213890.80489963852, 2305314.43611771)-B1F-PKG-0001","('EC1', 213890.80489963852, 2305314.43611771)",기둥,PKG,B1F,400x800,4250,,1.36
"('C1', 197440.79850222403, 2396894.4410408977)-B1F-PKG-0001","('C1', 197440.79850222403, 2396894.4410408977)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 207590.80489959195, 2300514.4361171937)-B1F-PKG-0001","('C2', 207590.80489959195, 2300514.4361171937)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 199290.8048995845, 2300514.436117657)-B1F-PKG-0001","('C2', 199290.8048995845, 2300514.436117657)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 193140.804899903, 2300514.436117395)-B1F-PKG-0001","('C2', 193140.804899903, 2300514.436117395)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 187540.80489966366, 2300514.436117454)-B1F-PKG-0001","('C2', 187540.80489966366, 2300514.436117454)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 182040.80489966366, 2300514.436117512)-B1F-PKG-0001","('C2', 182040.80489966366, 2300514.436117512)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 173840.80489966366, 2300514.436117597)-B1F-PKG-0001","('C2', 173840.80489966366, 2300514.436117597)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 151240.7985022338, 2354944.441040854)-B1F-PKG-0001","('C2', 151240.7985022338, 2354944.441040854)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 151240.7985021514, 2363144.441040855)-B1F-PKG-0001","('C2', 151240.7985021514, 2363144.441040855)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2', 151240.79850223009, 2371344.4410408568)-B1F-PKG-0001","('C2', 151240.79850223009, 2371344.4410408568)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2A', 151240.79850223009, 2374884.4410408568)-B1F-PKG-0001","('C2A', 151240.79850223009, 2374884.4410408568)",기둥,PKG,B1F,400x800,4250,,1.36
"('C2A', 151240.79850223009, 2383284.4410408577)-B1F-PKG-0001","('C2A', 151240.79850223009, 2383284.4410408577)",기둥,PKG,B1F,400x800,4250,,1.36
"('C3', 151240.79850221798, 2321594.441040859)-B1F-PKG-0001","('C3', 151240.79850221798, 2321594.441040859)",기둥,PKG,B1F,400x800,4250,,1.36
"('AC1', 178496.99803680228, 2317575.809182824)-B1F-PKG-0001","('AC1', 178496.99803680228, 2317575.809182824)",기둥,PKG,B1F,500x700,4250,,1.4875
"('AC1', 180280.98185069812, 2325891.5562742343)-B1F-PKG-0001","('AC1', 180280.98185069812, 2325891.5562742343)",기둥,PKG,B1F,500x700,4250,,1.4875
"('AC2', 208686.6924800265, 2331244.022335531)-B1F-PKG-0001","('AC2', 208686.6924800265, 2331244.022335531)",기둥,PKG,B1F,771x888,4250,,2.913
"('EC1', 196340.79850226454, 2330546.638872613)-B1F-PKG-0001","('EC1', 196340.79850226454, 2330546.638872613)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 200440.80489988392, 2330366.637231352)-B1F-PKG-0001","('EC1', 200440.80489988392, 2330366.637231352)",기둥,PKG,B1F,400x800,4250,,1.36
"('EC1', 208518.20124788675, 2338346.207345199)-B1F-PKG-0001","('EC1', 208518.20124788675, 2338346.207345199)",기둥,PKG,B1F,800x400,4250,,1.36
"('EC1', 189240.79850222776, 2388684.441040865)-B1F-PKG-0001","('EC1', 189240.79850222776, 2388684.441040865)",기둥,PKG,B1F,400x800,4250,,1.36
