부재ID,도면부재명,유형,구역,층,치수(mm),스팬/높이(mm),체적(m³)
400X800-B1F-DONG-0125,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0126,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0127,400X800,보(Y),DONG,B1F,400x800,5000,1.6
400X900_EST-B1F-DONG-0010,400X900_EST,보(Y),DONG,B1F,400x900,4205,1.5137
400X900_EST-B1F-DONG-0011,400X900_EST,보(Y),DONG,B1F,400x900,8202,2.9528
400X900_EST-B1F-DONG-0012,400X900_EST,보(Y),DONG,B1F,400x900,8700,3.132
400X900_EST-B1F-DONG-0013,400X900_EST,보(Y),DONG,B1F,400x900,8700,3.132
400X900_EST-B1F-DONG-0014,400X900_EST,보(Y),DONG,B1F,400x900,5000,1.8
400X800-B1F-DONG-0128,400X800,보(Y),DONG,B1F,400x800,4800,1.536
400X800-B1F-DONG-0129,400X800,보(Y),DONG,B1F,400x800,8200,2.624
400X800-B1F-DONG-0130,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0131,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0132,400X800,보(Y),DONG,B1F,400x800,4800,1.536
400X800-B1F-DONG-0133,400X800,보(Y),DONG,B1F,400x800,8200,2.624
400X800-B1F-DONG-0134,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0135,400X800,보(Y),DONG,B1F,400x800,8700,2.784
600X1200-B1F-DONG-0002,600X1200,보(Y),DONG,B1F,600x1200,4013,2.8893
400X800-B1F-DONG-0136,400X800,보(Y),DONG,B1F,400x800,4798,1.5353
400X800-B1F-DONG-0137,400X800,보(Y),DONG,B1F,400x800,8202,2.6247
400X800-B1F-DONG-0138,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0139,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0140,400X800,보(Y),DONG,B1F,400x800,8202,2.6247
400X800-B1F-DONG-0141,400X800,보(Y),DONG,B1F,400x800,8700,2.784
400X800-B1F-DONG-0142,400X800,보(Y),DONG,B1F,400x800,8700,2.784
600X900-B1F-DONG-0005,600X900,보(Y),DONG,B1F,600x900,4900,2.646
500X900-B1F-DONG-0012,500X900,보(Y),DONG,B1F,500x900,8400,3.78
500X900-B1F-DONG-0013,500X900,보(Y),DONG,B1F,500x900,4900,2.205
500X900-B1F-DONG-0014,500X900,보(Y),DONG,B1F,500x900,8400,3.78
500X900-B1F-DONG-0015,500X900,보(Y),DONG,B1F,500x900,4300,1.935
500X900-B1F-DONG-0016,500X900,보(Y),DONG,B1F,500x900,4900,2.205
700X900-B1F-DONG-0002,700X900,보(Y),DONG,B1F,700x900,8400,5.292
900X900-B1F-DONG-0024,900X900,보(Y),DONG,B1F,900x900,4300,3.483
600X900-B1F-DONG-0006,600X900,보(Y),DONG,B1F,600x900,4900,2.646
500X900-B1F-DONG-0017,500X900,보(Y),DONG,B1F,500x900,8400,3.78
500X900-B1F-DONG-0018,500X900,보(Y),DONG,B1F,500x900,4300,1.935
