부재ID,유형,층,구역,X(mm),Y(mm),Z_bot(mm),Z_top(mm),단면,길이(mm),각도(°),높이(mm),체적(m³),면적(m²),레이어
BM-B2F-0041,BEAM,B2F,DONG,165244.3,2259784.8,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0042,BEAM,B2F,DONG,173782.9,2261913.7,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0043,BEAM,B2F,DONG,173297.8,2261792.7,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0044,BEAM,B2F,DONG,161887.5,2263431.0,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0045,BEAM,B2F,DONG,162008.5,2262945.8,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0046,BEAM,B2F,DONG,168461.3,2265070.0,-9050.0,-5600.0,,7800.0,14.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0047,BEAM,B2F,DONG,168582.2,2264584.9,-9050.0,-5600.0,,7800.0,14.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0048,BEAM,B2F,DONG,175035.0,2266709.0,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0049,BEAM,B2F,DONG,175156.0,2266223.9,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0050,BEAM,B2F,DONG,176402.0,2271043.5,-9050.0,-5600.0,,7750.0,104.0,3450.0,1.24,0.0,S-GIRDER
BM-B2F-0051,BEAM,B2F,DONG,158651.7,2266592.1,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0052,BEAM,B2F,DONG,158172.6,2266446.8,-9050.0,-5600.0,,7750.0,104.0,3450.0,1.24,0.0,S-GIRDER
BM-B2F-0053,BEAM,B2F,DONG,163739.7,2267886.4,-9050.0,-5600.0,,7750.0,104.0,3450.0,1.24,0.0,S-GIRDER
BM-B2F-0054,BEAM,B2F,DONG,163254.5,2267765.4,-9050.0,-5600.0,,7750.0,104.0,3450.0,1.24,0.0,S-GIRDER
BM-B2F-0055,BEAM,B2F,DONG,171793.1,2269894.3,-9050.0,-5600.0,,7750.0,104.0,3450.0,1.24,0.0,S-GIRDER
BM-B2F-0056,BEAM,B2F,DONG,171308.0,2269773.4,-9050.0,-5600.0,,7750.0,104.0,3450.0,1.24,0.0,S-GIRDER
BM-B2F-0057,BEAM,B2F,DONG,169736.8,2278141.9,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0058,BEAM,B2F,DONG,169251.6,2278020.9,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0059,BEAM,B2F,DONG,166538.2,2273093.1,-9050.0,-5600.0,,7650.0,14.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0060,BEAM,B2F,DONG,166586.4,2272589.8,-9050.0,-5600.0,,7800.0,14.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0061,BEAM,B2F,DONG,173039.2,2274714.0,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
