부재ID,유형,층,구역,X(mm),Y(mm),Z_bot(mm),Z_top(mm),단면,길이(mm),각도(°),높이(mm),체적(m³),면적(m²),레이어
WL-B2F-0493,WALL,B2F,DONG,127079.4,2330494.7,-9050.0,-5600.0,200x3450,2365.0,104.0,3450.0,1.632,8.159,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0494,WALL,B2F,DONG,120797.9,2335619.8,-9050.0,-5600.0,200x3450,250.0,104.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0495,WALL,B2F,DONG,148440.0,2348903.1,-9050.0,-5600.0,200x3450,1250.0,157.0,3450.0,0.863,4.312,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0496,WALL,B2F,DONG,148227.2,2348721.8,-9050.0,-5600.0,200x3450,1500.0,157.0,3450.0,1.035,5.175,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0497,WALL,B2F,DONG,147911.7,2349578.1,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0498,WALL,B2F,DONG,148427.5,2350793.2,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0499,WALL,B2F,DONG,148351.5,2350934.1,-9050.0,-5600.0,200x3450,200.0,67.0,3450.0,0.138,0.69,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0500,WALL,B2F,DONG,148630.5,2350951.5,-9050.0,-5600.0,200x3450,450.0,67.0,3450.0,0.311,1.553,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0501,WALL,B2F,DONG,142472.6,2342305.2,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0502,WALL,B2F,DONG,142871.1,2343244.1,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0503,WALL,B2F,DONG,142858.7,2343534.6,-9050.0,-5600.0,200x3450,525.0,67.0,3450.0,0.362,1.811,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0504,WALL,B2F,DONG,143088.8,2343436.9,-9050.0,-5600.0,200x3450,525.0,67.0,3450.0,0.362,1.811,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0505,WALL,B2F,DONG,143076.3,2343727.4,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0506,WALL,B2F,DONG,143474.8,2344666.3,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0507,WALL,B2F,DONG,143785.5,2344822.3,-9050.0,-5600.0,200x3450,200.0,157.0,3450.0,0.138,0.69,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0508,WALL,B2F,DONG,143864.3,2345391.8,-9050.0,-5600.0,200x3450,610.0,67.0,3450.0,0.421,2.105,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0509,WALL,B2F,DONG,142259.9,2342123.9,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0510,WALL,B2F,DONG,142519.3,2342095.3,-9050.0,-5600.0,200x3450,350.0,67.0,3450.0,0.241,1.208,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0511,WALL,B2F,DONG,144045.5,2345179.1,-9050.0,-5600.0,200x3450,860.0,67.0,3450.0,0.593,2.967,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0512,WALL,B2F,DONG,143460.4,2344952.2,-9050.0,-5600.0,200x3450,515.0,67.0,3450.0,0.355,1.777,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0513,WALL,B2F,DONG,143641.7,2344739.4,-9050.0,-5600.0,200x3450,265.0,67.0,3450.0,0.183,0.914,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0514,WALL,B2F,DONG,144684.6,2347004.5,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0515,WALL,B2F,DONG,145082.9,2347623.0,-9050.0,-5600.0,200x3450,1450.0,67.0,3450.0,1.0,5.003,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0516,WALL,B2F,DONG,144852.8,2347720.7,-9050.0,-5600.0,200x3450,1450.0,67.0,3450.0,1.0,5.003,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0517,WALL,B2F,DONG,145251.2,2348339.2,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0518,WALL,B2F,DONG,145415.3,2348725.8,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0519,WALL,B2F,DONG,145805.8,2349326.0,-9050.0,-5600.0,200x3450,1410.0,67.0,3450.0,0.973,4.864,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0520,WALL,B2F,DONG,145624.5,2349538.7,-9050.0,-5600.0,200x3450,1660.0,67.0,3450.0,1.145,5.727,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0521,WALL,B2F,DONG,146853.2,2349918.8,-9050.0,-5600.0,200x3450,1965.0,157.0,3450.0,1.356,6.779,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0522,WALL,B2F,DONG,146870.6,2349639.9,-9050.0,-5600.0,200x3450,1715.0,157.0,3450.0,1.183,5.917,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0523,WALL,B2F,DONG,148482.0,2351932.5,-9050.0,-5600.0,200x3450,1740.0,67.0,3450.0,1.201,6.003,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0524,WALL,B2F,DONG,151836.6,2351453.7,-9050.0,-5600.0,200x3450,6050.0,157.0,3450.0,4.175,20.872,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0525,WALL,B2F,DONG,148266.3,2351078.9,-9050.0,-5600.0,200x3450,270.0,157.0,3450.0,0.186,0.932,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0526,WALL,B2F,DONG,148594.1,2351211.3,-9050.0,-5600.0,200x3450,270.0,157.0,3450.0,0.186,0.932,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0527,WALL,B2F,DONG,148761.0,2351949.9,-9050.0,-5600.0,200x3450,1490.0,67.0,3450.0,1.028,5.141,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0528,WALL,B2F,DONG,147945.7,2349338.3,-9050.0,-5600.0,200x3450,415.0,67.0,3450.0,0.286,1.432,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0529,WALL,B2F,DONG,147598.4,2349159.8,-9050.0,-5600.0,200x3450,315.0,67.0,3450.0,0.217,1.087,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0530,WALL,B2F,DONG,154616.8,2349621.7,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0531,WALL,B2F,DONG,154022.9,2348222.6,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0532,WALL,B2F,DONG,154983.7,2349846.2,-9050.0,-5600.0,200x3450,700.0,67.0,3450.0,0.483,2.415,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0533,WALL,B2F,DONG,154503.9,2349995.6,-9050.0,-5600.0,200x3450,600.0,67.0,3450.0,0.414,2.07,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0534,WALL,B2F,DONG,153573.5,2347164.0,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0535,WALL,B2F,DONG,152979.6,2345764.8,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0536,WALL,B2F,DONG,152639.7,2344964.0,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0537,WALL,B2F,DONG,151459.7,2342184.1,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0538,WALL,B2F,DONG,151162.7,2341484.5,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0539,WALL,B2F,DONG,152453.7,2343886.0,-9050.0,-5600.0,200x3450,12250.0,67.0,3450.0,8.453,42.263,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0540,WALL,B2F,DONG,152046.2,2344205.6,-9050.0,-5600.0,200x3450,11980.0,67.0,3450.0,8.266,41.331,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0541,WALL,B2F,DONG,150548.7,2348176.4,-9050.0,-5600.0,200x3450,1600.0,67.0,3450.0,1.104,5.52,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0542,WALL,B2F,DONG,150318.5,2348274.1,-9050.0,-5600.0,200x3450,1600.0,67.0,3450.0,1.104,5.52,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0543,WALL,B2F,DONG,150746.2,2348961.6,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0544,WALL,B2F,DONG,150121.0,2347488.8,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0545,WALL,B2F,DONG,150529.7,2339993.3,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0546,WALL,B2F,DONG,146118.5,2344163.4,-9050.0,-5600.0,200x3450,2480.0,157.0,3450.0,1.711,8.556,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0547,WALL,B2F,DONG,146020.8,2343933.3,-9050.0,-5600.0,200x3450,2480.0,157.0,3450.0,1.711,8.556,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0548,WALL,B2F,DONG,149991.0,2342383.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0549,WALL,B2F,DONG,148057.9,2343204.3,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0550,WALL,B2F,DONG,147211.1,2343563.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0551,WALL,B2F,DONG,144928.2,2344532.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0552,WALL,B2F,DONG,149073.3,2342909.1,-9050.0,-5600.0,200x3450,2100.0,157.0,3450.0,1.449,7.245,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0553,WALL,B2F,DONG,148975.6,2342679.0,-9050.0,-5600.0,200x3450,2100.0,157.0,3450.0,1.449,7.245,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0554,WALL,B2F,DONG,149256.7,2356470.5,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0555,WALL,B2F,DONG,145354.6,2360343.0,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0556,WALL,B2F,DONG,145792.3,2361374.0,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0557,WALL,B2F,DONG,145999.6,2362182.3,-9050.0,-5600.0,200x3450,1650.0,67.0,3450.0,1.139,5.692,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0558,WALL,B2F,DONG,146132.0,2361854.5,-9050.0,-5600.0,200x3450,1150.0,67.0,3450.0,0.793,3.967,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0559,WALL,B2F,DONG,150834.1,2357115.5,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0560,WALL,B2F,DONG,151283.3,2357853.6,-9050.0,-5600.0,200x3450,1710.0,67.0,3450.0,1.18,5.899,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0561,WALL,B2F,DONG,151053.1,2357951.3,-9050.0,-5600.0,200x3450,1710.0,67.0,3450.0,1.18,5.899,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0562,WALL,B2F,DONG,147664.0,2355712.6,-9050.0,-5600.0,200x3450,370.0,157.0,3450.0,0.255,1.276,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0563,WALL,B2F,DONG,147444.8,2355669.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0564,WALL,B2F,DONG,146413.9,2356107.5,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0565,WALL,B2F,DONG,146207.3,2356330.9,-9050.0,-5600.0,200x3450,555.0,157.0,3450.0,0.383,1.915,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0566,WALL,B2F,DONG,146109.6,2356100.8,-9050.0,-5600.0,200x3450,555.0,157.0,3450.0,0.383,1.915,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0567,WALL,B2F,DONG,154027.8,2354581.1,-9050.0,-5600.0,200x3450,2100.0,157.0,3450.0,1.449,7.245,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0568,WALL,B2F,DONG,153930.1,2354351.0,-9050.0,-5600.0,200x3450,2100.0,157.0,3450.0,1.449,7.245,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0569,WALL,B2F,DONG,155499.8,2351702.1,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0570,WALL,B2F,DONG,154945.5,2354055.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0571,WALL,B2F,DONG,155375.0,2359495.4,-9050.0,-5600.0,200x3450,730.0,67.0,3450.0,0.504,2.518,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0572,WALL,B2F,DONG,155805.2,2358128.7,-9050.0,-5600.0,200x3450,1260.0,157.0,3450.0,0.869,4.347,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0573,WALL,B2F,DONG,155504.9,2360108.4,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0574,WALL,B2F,DONG,154658.0,2360467.9,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0575,WALL,B2F,DONG,154326.6,2360608.5,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0576,WALL,B2F,DONG,153203.6,2361085.2,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0577,WALL,B2F,DONG,153789.1,2361108.2,-9050.0,-5600.0,200x3450,3940.0,157.0,3450.0,2.719,13.593,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0578,WALL,B2F,DONG,153823.9,2360550.3,-9050.0,-5600.0,200x3450,3440.0,157.0,3450.0,2.374,11.868,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0579,WALL,B2F,DONG,151144.3,2360623.1,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0580,WALL,B2F,DONG,149745.2,2361217.0,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0581,WALL,B2F,DONG,148691.2,2361664.4,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0582,WALL,B2F,DONG,147292.0,2362258.3,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0583,WALL,B2F,DONG,146855.8,2362715.1,-9050.0,-5600.0,200x3450,1160.0,157.0,3450.0,0.8,4.002,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0584,WALL,B2F,DONG,146775.5,2362206.0,-9050.0,-5600.0,200x3450,910.0,157.0,3450.0,0.628,3.14,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0585,WALL,B2F,DONG,153012.4,2354876.3,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0586,WALL,B2F,DONG,152165.5,2355235.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0587,WALL,B2F,DONG,150760.0,2355968.2,-9050.0,-5600.0,200x3450,3160.0,157.0,3450.0,2.18,10.902,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0588,WALL,B2F,DONG,150662.3,2355738.1,-9050.0,-5600.0,200x3450,3160.0,157.0,3450.0,2.18,10.902,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0589,WALL,B2F,DONG,156472.4,2353353.4,-9050.0,-5600.0,200x3450,6920.0,67.0,3450.0,4.775,23.874,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0590,WALL,B2F,DONG,156132.8,2353193.3,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0591,WALL,B2F,DONG,156414.2,2353856.1,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0592,WALL,B2F,DONG,157594.2,2356636.0,-9050.0,-5600.0,200x3450,500.0,157.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0593,WALL,B2F,DONG,157951.3,2356837.5,-9050.0,-5600.0,200x3450,650.0,67.0,3450.0,0.449,2.243,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0594,WALL,B2F,DONG,157456.9,2357400.4,-9050.0,-5600.0,200x3450,1350.0,157.0,3450.0,0.932,4.658,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0595,WALL,B2F,DONG,155707.5,2357898.5,-9050.0,-5600.0,200x3450,1260.0,157.0,3450.0,0.869,4.347,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0596,WALL,B2F,DONG,157079.8,2358239.4,-9050.0,-5600.0,200x3450,1250.0,67.0,3450.0,0.863,4.312,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0597,WALL,B2F,DONG,156424.2,2357974.5,-9050.0,-5600.0,200x3450,1250.0,67.0,3450.0,0.863,4.312,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0598,WALL,B2F,DONG,156936.4,2358707.7,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0599,WALL,B2F,DONG,156709.6,2359075.6,-9050.0,-5600.0,200x3450,1335.0,157.0,3450.0,0.921,4.606,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0600,WALL,B2F,DONG,156369.2,2358676.8,-9050.0,-5600.0,200x3450,1020.0,157.0,3450.0,0.704,3.519,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0601,WALL,B2F,DONG,155997.4,2359106.2,-9050.0,-5600.0,200x3450,500.0,67.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0602,WALL,B2F,DONG,156030.6,2359760.3,-9050.0,-5600.0,200x3450,730.0,67.0,3450.0,0.504,2.518,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0603,WALL,B2F,DONG,155176.4,2358259.8,-9050.0,-5600.0,200x3450,250.0,67.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0604,WALL,B2F,DONG,155887.9,2360217.4,-9050.0,-5600.0,200x3450,620.0,157.0,3450.0,0.428,2.139,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0605,WALL,B2F,DONG,151735.4,2361311.9,-9050.0,-5600.0,200x3450,1230.0,67.0,3450.0,0.849,4.244,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0606,WALL,B2F,DONG,152000.3,2360656.3,-9050.0,-5600.0,200x3450,1230.0,67.0,3450.0,0.849,4.244,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0607,WALL,B2F,DONG,149442.4,2361617.1,-9050.0,-5600.0,200x3450,4460.0,157.0,3450.0,3.077,15.387,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0608,WALL,B2F,DONG,145077.4,2360009.9,-9050.0,-5600.0,200x3450,830.0,67.0,3450.0,0.573,2.864,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0609,WALL,B2F,DONG,145307.6,2359912.2,-9050.0,-5600.0,200x3450,830.0,67.0,3450.0,0.573,2.864,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0610,WALL,B2F,DONG,149477.2,2361059.2,-9050.0,-5600.0,200x3450,4960.0,157.0,3450.0,3.422,17.112,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0611,WALL,B2F,DONG,155991.6,2359380.3,-9050.0,-5600.0,200x3450,225.0,157.0,3450.0,0.155,0.776,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0612,WALL,B2F,DONG,155566.1,2359017.8,-9050.0,-5600.0,200x3450,725.0,157.0,3450.0,0.5,2.501,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0613,WALL,B2F,DONG,146042.9,2359149.2,-9050.0,-5600.0,200x3450,1950.0,157.0,3450.0,1.346,6.728,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0614,WALL,B2F,DONG,146446.1,2357603.8,-9050.0,-5600.0,200x3450,2530.0,67.0,3450.0,1.746,8.729,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0615,WALL,B2F,DONG,147107.9,2354569.0,-9050.0,-5600.0,200x3450,2040.0,67.0,3450.0,1.408,7.038,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0616,WALL,B2F,DONG,147435.7,2354701.4,-9050.0,-5600.0,200x3450,2040.0,67.0,3450.0,1.408,7.038,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0617,WALL,B2F,DONG,151502.3,2358689.5,-9050.0,-5600.0,200x3450,250.0,157.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0618,WALL,B2F,DONG,160762.4,2325850.9,-9050.0,-5600.0,200x3450,250.0,139.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0619,WALL,B2F,DONG,165569.2,2328271.0,-9050.0,-5600.0,200x3450,500.0,49.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0620,WALL,B2F,DONG,166414.5,2327536.2,-9050.0,-5600.0,200x3450,500.0,49.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0621,WALL,B2F,DONG,167201.1,2327183.6,-9050.0,-5600.0,200x3450,1650.0,139.0,3450.0,1.139,5.692,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0622,WALL,B2F,DONG,166684.4,2326970.3,-9050.0,-5600.0,200x3450,1150.0,139.0,3450.0,0.793,3.967,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0623,WALL,B2F,DONG,160888.3,2324151.4,-9050.0,-5600.0,200x3450,250.0,49.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0624,WALL,B2F,DONG,161451.6,2323496.2,-9050.0,-5600.0,200x3450,1710.0,139.0,3450.0,1.18,5.899,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0625,WALL,B2F,DONG,161615.6,2323684.8,-9050.0,-5600.0,200x3450,1710.0,139.0,3450.0,1.18,5.899,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0626,WALL,B2F,DONG,160533.8,2327599.9,-9050.0,-5600.0,200x3450,370.0,49.0,3450.0,0.255,1.276,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0627,WALL,B2F,DONG,160560.8,2327821.5,-9050.0,-5600.0,200x3450,250.0,139.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0628,WALL,B2F,DONG,161295.6,2328666.8,-9050.0,-5600.0,200x3450,250.0,139.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0629,WALL,B2F,DONG,161572.0,2328794.2,-9050.0,-5600.0,200x3450,555.0,49.0,3450.0,0.383,1.915,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0630,WALL,B2F,DONG,161383.3,2328958.3,-9050.0,-5600.0,200x3450,555.0,49.0,3450.0,0.383,1.915,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0631,WALL,B2F,DONG,157491.2,2321897.2,-9050.0,-5600.0,200x3450,2100.0,49.0,3450.0,1.449,7.245,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0632,WALL,B2F,DONG,157302.5,2322061.3,-9050.0,-5600.0,200x3450,2100.0,49.0,3450.0,1.449,7.245,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0633,WALL,B2F,DONG,154216.1,2321292.5,-9050.0,-5600.0,200x3450,250.0,49.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0634,WALL,B2F,DONG,156708.0,2321186.8,-9050.0,-5600.0,200x3450,250.0,139.0,3450.0,0.173,0.863,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0635,WALL,B2F,DONG,161678.9,2318826.7,-9050.0,-5600.0,200x3450,480.0,139.0,3450.0,0.331,1.656,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0636,WALL,B2F,DONG,160214.9,2319032.6,-9050.0,-5600.0,200x3450,1510.0,49.0,3450.0,1.042,5.21,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0637,WALL,B2F,DONG,162291.4,2318784.4,-9050.0,-5600.0,200x3450,500.0,139.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0638,WALL,B2F,DONG,162895.0,2319478.8,-9050.0,-5600.0,200x3450,500.0,139.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0639,WALL,B2F,DONG,163131.2,2319750.5,-9050.0,-5600.0,200x3450,500.0,139.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0640,WALL,B2F,DONG,163931.6,2320671.2,-9050.0,-5600.0,200x3450,500.0,139.0,3450.0,0.345,1.725,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0641,WALL,B2F,DONG,163772.6,2320107.2,-9050.0,-5600.0,200x3450,3940.0,49.0,3450.0,2.719,13.593,XR지하1층평면도$0$A-WALL-RC
WL-B2F-0642,WALL,B2F,DONG,163231.2,2320246.5,-9050.0,-5600.0,200x3450,3440.0,49.0,3450.0,2.374,11.868,XR지하1층평면도$0$A-WALL-RC
