부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-B2F-0111,column,1.4934,0.0,9.08,0.0
COL-B2F-0112,column,1.0005,0.0,7.452,0.0
COL-B2F-0113,column,0.6624,0.0,6.072,0.0
COL-B2F-0114,column,0.3814,0.0,4.616,0.0
COL-B2F-0115,column,0.1339,0.0,2.719,0.0
COL-B2F-0116,column,4.242,0.0,15.394,0.0
COL-B2F-0117,column,1.4934,0.0,9.08,0.0
COL-B2F-0118,column,0.3881,0.0,6.21,0.0
COL-B2F-0119,column,0.3881,0.0,6.21,0.0
COL-B2F-0120,column,1.4376,0.0,9.405,0.0
COL-B2F-0121,column,0.3881,0.0,6.21,0.0
COL-B2F-0122,column,0.3881,0.0,6.21,0.0
COL-B2F-0123,column,1.4376,0.0,9.405,0.0
COL-B2F-0124,column,0.3881,0.0,6.21,0.0
COL-B2F-0125,column,0.3881,0.0,6.21,0.0
COL-B2F-0126,column,1.4376,0.0,9.405,0.0
COL-B2F-0127,column,0.3881,0.0,6.21,0.0
COL-B2F-0128,column,0.3881,0.0,6.21,0.0
COL-B2F-0129,column,5.76,0.0,18.264,0.0
COL-B2F-0130,column,0.3881,0.0,6.21,0.0
COL-B2F-0131,column,0.3881,0.0,6.21,0.0
COL-B2F-0132,column,0.3881,0.0,6.21,0.0
COL-B2F-0133,column,0.3881,0.0,6.21,0.0
COL-B2F-0134,column,0.3881,0.0,6.21,0.0
COL-B2F-0135,column,4.242,0.0,15.394,0.0
COL-B2F-0136,column,1.4934,0.0,9.08,0.0
COL-B2F-0137,column,1.0005,0.0,7.452,0.0
COL-B2F-0138,column,0.6624,0.0,6.072,0.0
COL-B2F-0139,column,0.3814,0.0,4.616,0.0
COL-B2F-0140,column,0.1339,0.0,2.719,0.0
COL-B2F-0141,column,4.242,0.0,15.394,0.0
COL-B2F-0142,column,1.4934,0.0,9.08,0.0
COL-B2F-0143,column,0.3105,0.0,5.175,0.0
COL-B2F-0144,column,0.3105,0.0,5.175,0.0
COL-B2F-0145,column,0.3881,0.0,6.21,0.0
COL-B2F-0146,column,0.3881,0.0,6.21,0.0
COL-B2F-0147,column,5.76,0.0,18.264,0.0
COL-B2F-0148,column,0.3881,0.0,6.21,0.0
COL-B2F-0149,column,0.3881,0.0,6.21,0.0
COL-B2F-0150,column,0.3881,0.0,6.21,0.0
COL-B2F-0151,column,5.76,0.0,18.264,0.0
COL-B2F-0152,column,0.3881,0.0,6.21,0.0
COL-B2F-0153,column,0.3881,0.0,6.21,0.0
COL-B2F-0154,column,0.3881,0.0,6.21,0.0
COL-B2F-0155,column,0.3881,0.0,6.21,0.0
COL-B2F-0156,column,0.3881,0.0,6.21,0.0
COL-B2F-0157,column,0.3881,0.0,6.21,0.0
COL-B2F-0158,column,0.3881,0.0,6.21,0.0
COL-B2F-0159,column,1.4376,0.0,9.405,0.0
COL-B2F-0160,column,0.3881,0.0,6.21,0.0
COL-B2F-0161,column,0.3881,0.0,6.21,0.0
COL-B2F-0162,column,0.3881,0.0,6.21,0.0
COL-B2F-0163,column,0.3881,0.0,6.21,0.0
COL-B2F-0164,column,0.3881,0.0,6.21,0.0
COL-B2F-0165,column,0.3881,0.0,6.21,0.0
COL-B2F-0166,column,1.4376,0.0,9.405,0.0
COL-B2F-0167,column,0.3881,0.0,6.21,0.0
COL-B2F-0168,column,0.3881,0.0,6.21,0.0
COL-B2F-0169,column,4.242,0.0,15.394,0.0
COL-B2F-0170,column,1.4934,0.0,9.08,0.0
COL-B2F-0171,column,1.0005,0.0,7.452,0.0
COL-B2F-0172,column,0.6624,0.0,6.072,0.0
COL-B2F-0173,column,0.3814,0.0,4.616,0.0
COL-B2F-0174,column,0.1339,0.0,2.719,0.0
COL-B2F-0175,column,4.242,0.0,15.394,0.0
COL-B2F-0176,column,1.4934,0.0,9.08,0.0
COL-B2F-0177,column,0.3881,0.0,6.21,0.0
COL-B2F-0178,column,0.3881,0.0,6.21,0.0
COL-B2F-0179,column,0.3881,0.0,6.21,0.0
COL-B2F-0180,column,0.3881,0.0,6.21,0.0
COL-B2F-0181,column,0.3881,0.0,6.21,0.0
COL-B2F-0182,column,0.3881,0.0,6.21,0.0
COL-B2F-0183,column,1.4376,0.0,9.405,0.0
COL-B2F-0184,column,0.3881,0.0,6.21,0.0
COL-B2F-0185,column,0.3881,0.0,6.21,0.0
COL-B2F-0186,column,1.4376,0.0,9.405,0.0
COL-B2F-0187,column,0.3881,0.0,6.21,0.0
COL-B2F-0188,column,0.3881,0.0,6.21,0.0
COL-B2F-0189,column,0.3881,0.0,6.21,0.0
COL-B2F-0190,column,0.3881,0.0,6.21,0.0
COL-B2F-0191,column,1.4376,0.0,9.405,0.0
COL-B2F-0192,column,0.3881,0.0,6.21,0.0
COL-B2F-0193,column,0.3881,0.0,6.21,0.0
COL-B2F-0194,column,0.3881,0.0,6.21,0.0
COL-B2F-0195,column,0.3881,0.0,6.21,0.0
COL-B2F-0196,column,0.3881,0.0,6.21,0.0
COL-B2F-0197,column,0.3881,0.0,6.21,0.0
COL-B2F-0198,column,1.4376,0.0,9.405,0.0
COL-B2F-0199,column,0.3881,0.0,6.21,0.0
COL-B2F-0200,column,0.3881,0.0,6.21,0.0
COL-B2F-0201,column,0.3881,0.0,6.21,0.0
COL-B2F-0202,column,0.3881,0.0,6.21,0.0
COL-B2F-0203,column,1.4376,0.0,9.405,0.0
COL-B2F-0204,column,0.3881,0.0,6.21,0.0
COL-B2F-0205,column,0.3881,0.0,6.21,0.0
COL-B2F-0206,column,1.4376,0.0,9.405,0.0
COL-B2F-0207,column,0.3881,0.0,6.21,0.0
COL-B2F-0208,column,0.3881,0.0,6.21,0.0
COL-B2F-0209,column,0.3881,0.0,6.21,0.0
COL-B2F-0210,column,0.3881,0.0,6.21,0.0
COL-B2F-0211,column,1.4376,0.0,9.405,0.0
COL-B2F-0212,column,0.3881,0.0,6.21,0.0
COL-B2F-0213,column,0.3881,0.0,6.21,0.0
COL-B2F-0214,column,0.3881,0.0,6.21,0.0
COL-B2F-0215,column,0.3881,0.0,6.21,0.0
COL-B2F-0216,column,1.4376,0.0,9.405,0.0
COL-B2F-0217,column,0.3881,0.0,6.21,0.0
COL-B2F-0218,column,0.3881,0.0,6.21,0.0
COL-B2F-0219,column,1.4376,0.0,9.405,0.0
COL-B2F-0220,column,0.3881,0.0,6.21,0.0
COL-B2F-0221,column,0.3881,0.0,6.21,0.0
