부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-S30-004-0106,column,9.7116,0.0,23.366,0.0
BM-S30-010-0001,beam,57.024,0.0,356.4,178.2
BM-S30-009-0002,beam,57.024,0.0,356.4,178.2
BM-S30-008-0003,beam,57.024,0.0,356.4,178.2
BM-S30-007-0004,beam,403.2,0.0,2520.0,1260.0
BM-S30-007-0005,beam,403.2,0.0,2520.0,1260.0
BM-S30-007-0006,beam,57.024,0.0,356.4,178.2
BM-S30-006-0007,beam,57.024,0.0,356.4,178.2
BM-S30-005-0008,beam,57.024,0.0,356.4,178.2
BM-S30-004-0009,beam,87.318,0.0,374.22,178.2
BM-S30-004-0010,beam,1.0753,0.0,6.721,3.36
BM-S30-004-0011,beam,1.0753,0.0,6.721,3.36
BM-S30-004-0012,beam,1.0753,0.0,6.721,3.36
BM-S30-004-0013,beam,1.0753,0.0,6.721,3.36
BM-S30-004-0014,beam,1.0753,0.0,6.721,3.36
BM-S30-004-0015,beam,1.0753,0.0,6.721,3.36
BM-S30-005-0016,beam,1.0753,0.0,6.721,3.36
BM-S30-005-0017,beam,1.0753,0.0,6.721,3.36
BM-S30-005-0018,beam,1.0753,0.0,6.721,3.36
BM-S30-005-0019,beam,1.0753,0.0,6.721,3.36
BM-S30-005-0020,beam,1.0753,0.0,6.721,3.36
BM-S30-005-0021,beam,1.0753,0.0,6.721,3.36
BM-S30-006-0022,beam,1.0753,0.0,6.721,3.36
BM-S30-006-0023,beam,1.0753,0.0,6.721,3.36
BM-S30-006-0024,beam,1.0753,0.0,6.721,3.36
BM-S30-006-0025,beam,1.0753,0.0,6.721,3.36
BM-S30-006-0026,beam,1.0753,0.0,6.721,3.36
BM-S30-006-0027,beam,1.0753,0.0,6.721,3.36
BM-S30-007-0028,beam,1.0753,0.0,6.721,3.36
BM-S30-007-0029,beam,1.0753,0.0,6.721,3.36
BM-S30-007-0030,beam,1.0753,0.0,6.721,3.36
BM-S30-007-0031,beam,1.0753,0.0,6.721,3.36
BM-S30-007-0032,beam,1.0753,0.0,6.721,3.36
BM-S30-007-0033,beam,1.0753,0.0,6.721,3.36
BM-S30-008-0034,beam,1.0753,0.0,6.721,3.36
BM-S30-008-0035,beam,1.0753,0.0,6.721,3.36
BM-S30-008-0036,beam,1.0753,0.0,6.721,3.36
BM-S30-008-0037,beam,1.0753,0.0,6.721,3.36
BM-S30-008-0038,beam,1.0753,0.0,6.721,3.36
BM-S30-008-0039,beam,1.0753,0.0,6.721,3.36
BM-S30-010-0040,beam,1.0753,0.0,6.721,3.36
BM-S30-010-0041,beam,1.0753,0.0,6.721,3.36
BM-S30-010-0042,beam,1.0753,0.0,6.721,3.36
BM-S30-010-0043,beam,1.0753,0.0,6.721,3.36
WL-S30-007-0001,wall,0.0,0.0,0.0,0.0
WL-S30-007-0002,wall,1.7776,2.091,4.182,0.597
